# VerbAtlas 1.0 - SapienzaNLP - LICENSE: CC BY-SA-NC 4.0 - http://verbatlas.org
va:0527f	MATCH
va:0531f	INAUGURATE
va:0532f	BLIND
va:0533f	FAIL_LOSE
va:0534f	SEPARATE_FILTER_DETACH
va:0535f	BREATH_BLOW
va:0537f	EXPLODE
va:0538f	TASTE
va:0539f	CASTRATE
va:0541f	ODORIZE
va:0545f	PLAN_SCHEDULE
va:0546f	FLATTER
va:0547f	CITE
va:0548f	INFER
va:0550f	FEEL
va:0552f	DEVELOP_AGE
va:0553f	DRESS_WEAR
va:0554f	BEND
va:0556f	LOSE
va:0558f	FORGET
va:0559f	FALL_SLIDE-DOWN
va:0560f	RESIGN_RETIRE
va:0561f	SPOIL
va:0562f	INCLINE
va:0563f	WEAVE
va:0564f	CHANGE-APPEARANCE/STATE
va:0566f	DANCE
va:0567f	UNFASTEN_UNFOLD
va:0568f	REGRET_BE-SORRY
va:0570f	METEOROLOGICAL
va:0571f	CATCH_EMBARK
va:0572f	PERMEATE
va:0573f	MAKE-RELAX
va:0574f	SUBJUGATE
va:0575f	BEWITCH
va:0576f	PERCEIVE
va:0577f	SMELL
va:0578f	CAGE_IMPRISON
va:0579f	SEW
va:0580f	JOIN_CONNECT
va:0581f	DRIVE-BACK
va:0582f	CAUSE-MENTAL-STATE
va:0583f	ESTABLISH
va:0584f	RENEW
va:0586f	GENERATE
va:0587f	COPY
va:0592f	DISLIKE
va:0593f	DROP
va:0594f	FLY
va:0595f	SUBMIT
va:0596f	BURY_PLANT
va:0597f	WORK
va:0598f	MISS_OMIT_LACK
va:0600f	EXEMPT
va:0602f	CRITICIZE
va:0604f	FRUSTRATE_DISAPPOINT
va:0605f	MOVE-BACK
va:0607f	LEAVE-BEHIND
va:0608f	DISBAND_BREAK-UP
va:0609f	REFLECT
va:0611f	SATISFY_FULFILL
va:0612f	LEND
va:0613f	GIVE-BACK
va:0616f	DIVIDE
va:0617f	BID
va:0618f	TIGHTEN
va:0619f	CAUSE
va:0620f	ASCRIBE
va:0621f	WAIT
va:0622f	DECEIVE
va:0623f	BE-LOCATED_BASE
va:0624f	GROUND_BASE_FOUND
va:0625f	MISTAKE
va:0626f	CORRUPT
va:0627f	DISTINGUISH_DIFFER
va:0628f	REFER
va:0629f	HAVE-A-FUNCTION_SERVE
va:0630f	REMAIN
va:0631f	WELCOME
va:0632f	AUX_MOD
va:0633f	DERIVE
va:0634f	APPLY
va:0635f	PRETEND
va:1000f	AUX_MOD
va:1001f	AUXILIARY
va:1002f	LIGHT-VERB
va:1003f	DISCOURSE-FUNCTION
va:1004f	COPULA
va:1005f	MUST
va:1006f	MODAL
